COD_INDICADOR;COD_UNIDAD;COD_AREA;COD_SEC_ECO;COD_NORMA;COD_HITO;NOMBRE_ACTIVIDAD;PRODUCTO ESPERADO;UNIDAD DE MEDIDA;CMI;CLASIFICADOR RELACIONADO;CODCLASIFICADOR;NOMCLASIFICADOR;COD_ACTIVIDADPADRE;COD_PERSONAL;COD_FUNCION;ACTIVIDAD_DIRECTA_APOYO(DIRECTA=1 APOYO=0);PLAN_MENSUAL_UNICA(MENSUAL=1 UNICA=0);ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC;ENE_E;FEB_E;MAR_E;ABR_E;MAY_E;JUN_E;JUL_E;AGO_E;SEP_E;OCT_E;NOV_E;DIC_E
110;829;39;33;;;RLP-TCP-CSP-00047 EMBOTELLADORAS BOLIVIANAS UNIDAS S.A. (EMBOL S.A.) (La Paz)  ;Servicio ejecutado;Bs;SI;;2064;Cli;11008;347;;1;1;0;0;0;0;0;0;0;0;0;28459.44;0;0;;;;;;;;;;;;
110;829;39;28;;;RLP-TCP-CSP-00104 MACCAFERRI DO BRASIL LTDA  ;Servicio ejecutado;Bs;SI;;2121;Cli;11008;347;;1;1;0;0;0;0;0;21072.1;0;0;0;0;0;0;;;;;;;;;;;;
110;829;39;28;;;RLP-TCP-CSP-00105 SOBOCE - VIACHA  ;Servicio ejecutado;Bs;SI;;2158;Cli;11008;347;;1;1;0;0;0;0;0;30459.44;0;0;0;0;0;0;;;;;;;;;;;;
110;829;39;33;;;RLP-TCP-CSP-00107 MOLINO ANDINO S.A  ;Servicio ejecutado;Bs;SI;;2125;Cli;11008;347;;1;1;21193.2;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
110;829;39;33;;;RLP-TCP-CSP-00108 SICLAF S.A. (LA  FRANCESA)  ;Servicio ejecutado;Bs;SI;;2153;Cli;11008;347;;1;1;12110.4;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
110;829;39;28;;;RLP-TCP-CSP-00110 EMPRESA PUBLICAPRODUCTIVA CEMENTOS DE BOLIVIA - ECEBOL  ;Servicio ejecutado;Bs;SI;;3933;Cli;11008;347;;1;1;0;0;0;0;0;0;64693.2;0;0;0;0;0;;;;;;;;;;;;
110;829;39;28;;;RLP-TCP-CSP-00111 YURA .S.A.  ;Servicio ejecutado;Bs;SI;;4150;Cli;11008;347;;1;1;2610;0;0;0;0;0;0;0;0;52200;0;0;;;;;;;;;;;;
110;829;39;33;;;RLP-TCP-CSP-00112 LA CASCADA S.A.  ;Servicio ejecutado;Bs;SI;;2113;Cli;11008;347;;1;1;0;0;0;0;0;0;0;0;0;0;0;21193.2;;;;;;;;;;;;
110;829;39;28;;;RLP-TCP-CSP-00113 ArcelorMittal Brasil S/A - Piracicaba  ;Servicio ejecutado;Bs;SI;;4152;Cli;11008;347;;1;1;0;0;0;0;0;0;0;0;0;21072.1;0;0;;;;;;;;;;;;
110;829;39;28;;;RLP-TCP-CSP-00114 ArcelorMittal Brasil S/A - Piracicaba  ;Servicio ejecutado;Bs;SI;;4152;Cli;11008;347;;1;1;0;0;0;0;0;0;0;0;0;21072.1;0;0;;;;;;;;;;;;
