partida;nombre;ENE;FEB;MAR;ABRIL;MAY;JUN;JUL;AGO;SEP;OCT;NOV;DIC
7.1001E+13;x;2916.666667;2916.666667;2916.666667;2916.666667;2916.666667;2916.666667;2916.666667;2916.666667;2916.666667;2916.666667;2916.666667;2916.666667
7.1001E+13;x;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667
7.1001E+13;x;954.1666667;954.1666667;954.1666667;954.1666667;954.1666667;954.1666667;954.1666667;954.1666667;954.1666667;954.1666667;954.1666667;954.1666667
7.1001E+13;x;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667;416.6666667
7.1001E+13;x;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667;1666.666667
7.1001E+13;x;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250;1250
7.1001E+13;x;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000
7.1001E+13;x;2083.333333;2083.333333;2083.333333;2083.333333;2083.333333;2083.333333;2083.333333;2083.333333;2083.333333;2083.333333;2083.333333;2083.333333
7.1001E+13;x;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000
7.1001E+13;x;29166.66667;29166.66667;29166.66667;29166.66667;29166.66667;29166.66667;29166.66667;29166.66667;29166.66667;29166.66667;29166.66667;29166.66667
7.1001E+13;x;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333
7.1001E+13;x;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333
7.1001E+13;x;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500;2500
7.1001E+13;x;9166.666667;9166.666667;9166.666667;9166.666667;9166.666667;9166.666667;9166.666667;9166.666667;9166.666667;9166.666667;9166.666667;9166.666667
7.1001E+13;x;1035.79;1035.79;1035.79;1035.79;1035.79;1035.79;1035.79;1035.79;1035.79;1035.79;1035.79;1035.79
7.1001E+13;x;6666.666667;6666.666667;6666.666667;6666.666667;6666.666667;6666.666667;6666.666667;6666.666667;6666.666667;6666.666667;6666.666667;6666.666667
7.1002E+13;x;166.6666667;166.6666667;166.6666667;166.6666667;166.6666667;166.6666667;166.6666667;166.6666667;166.6666667;166.6666667;166.6666667;166.6666667
7.1002E+13;x;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667;4166.666667
7.1002E+13;x;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000;5000
7.1002E+13;x;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333
7.1002E+13;x;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333
7.1002E+13;x;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333
7.1002E+13;x;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333;3333.333333
7.1002E+13;x;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333;5833.333333
